smsa_name_clean,smsa_name,line_number,year,page_numbers
"DENVER-BOULDER, COLO","DENVER-BOULDER, COLO. | DENVER-BOULDER, COLO..",30,1973,pages_07_08.json
"DES MOINES, IOWA","DES MOINES, IOWA",4,1967,pages_07_08.json
"DETROIT, MICH","DETROIT, MICH.",7,1967,pages_07_08.json
"DUBUQUE, IOWA","DUBUQUE, IOWA | DUBUQUE, IOWA.",10,1967,pages_07_08.json
"DULUTH-SUPERIOR, MINN-WIS","DULUTH-SUPERIOR, MINN.-WIS. | DULUTH-SUPERIOR, MINN.-WIS..",13,1967,pages_07_08.json
"DURHAM, NC","DURHAM, N.C.",18,1967,pages_07_08.json
"EAU CLAIRE, WIS","EAU CLAIRE, WIS. | EAU CLAIRE, WIS .",61,1975,pages_07_08.json
"EL PASO, TEX","EL PASO, TEX. | EL PASO, TEX..",21,1967,pages_07_08.json
"ELKHART, IND","ELKHART, IND.",4A,1979,pages_09_10.json
"ELMIRA, NY","ELMIRA, N.Y.",57,1971,pages_07_08.json
"ENID, OKLA","ENID, OKLA.",8,1979,pages_09_10.json
"ERIE, PA","ERIE, PA.",24,1967,pages_07_08.json
"EUGENE, OREG","EUGENE, OREG.",27,1967,pages_07_08.json
"EUGENE-SPRINGFIELD, OREG","EUGENE-SPRINGFIELD, OREG.",7,1971,pages_09_10.json
"EVANSVILLE, IND-KY","EVANSVILLE, IND.-KY.",30,1967,pages_07_08.json
"FALL RIVER, MASS-RI","FALL RIVER, MASS.-R.I.",33,1967,pages_07_08.json
FARGO-MOOREHEAD ND-MN,FARGO-MOOREHEAD ND-MN.,62,1972,pages_07_08.json
FARGO-MOORHEAD ND-MN,FARGO-MOORHEAD ND-MN,4,1973,pages_09_10.json
"FARGO-MOORHEAD, NDAK-MINN","FARGO-MOORHEAD, N.DAK.-MINN.",36,1967,pages_07_08.json
"FAYETTEVILLE, NC","FAYETTEVILLE, N.C.",41,1967,pages_07_08.json
"FAYETTEVILLE-SPRINGDALE, ARK","FAYETTEVILLE-SPRINGDALE, ARK. | FAYETTEVILLE-SPRINGDALE, ARK..",9,1973,pages_09_10.json
"FITCHBURG-LEOMINSTER, MASS","FITCHBURG-LEOMINSTER, MASS. | FITCHBURG-LEOMINSTER, MASS..",44,1967,pages_07_08.json
"FLINT, MICH","FLINT, MICH.",49,1967,pages_07_08.json
"FLORENCE, ALA","FLORENCE, ALA | FLORENCE, ALA.",34,1971,pages_09_10.json
"FORT COLLINS, COLO","FORT COLLINS, COLO. | FORT COLLINS, COLO..",42,1975,pages_09_10.json
"FORT LAUDERDALE-HOLLYWOOD, FLA","FORT LAUDERDALE-HOLLYWOOD, FLA. | FORT LAUDERDALE-HOLLYWOOD, FLA | FORT LAUDERDALE-HOLLYWOOD, FLA..",52,1967,pages_07_08.json
"FORT MEYERS-CAPE CORAL, FLA","FORT MEYERS-CAPE CORAL, FLA.",53,1978,pages_09_10.json
"FORT MYERS, FLA","FORT MYERS, FLA | FORT MYERS, FLA.",42,1971,pages_09_10.json
"FORT SMITH, ARK-OKLA","FORT SMITH, ARK.-OKLA.",57,1967,pages_07_08.json
"FORT WAYNE, IND","FORT WAYNE, IND.. | FORT WAYNE, IND.",1,1967,pages_09_10.json
"FORT WORTH, TEX","FORT WORTH, TEX. 3 | FORT WORTH, TEX.",4,1967,pages_09_10.json
"FRESNO, CALIF","FRESNO, CALIF. 3 | FRESNO, CALIF.",7,1967,pages_09_10.json
"GADSDEN, ALA","GADSDEN, ALA. | GADSDEN, ALA..",10,1967,pages_09_10.json
"GAINESVILLE, FLA","GAINESVILLE, FLA. | GAINESVILLE, FLA..",1,1971,pages_11_12.json
"GALVESTON-TEXAS CITY, TEX","GALVESTON-TEXAS CITY, TEX.. | GALVESTON-TEXAS CITY, TEX.",13,1967,pages_09_10.json
"GARY-HAMMOND-EAST CHICAGO, IND","GARY-HAMMOND-EAST CHICAGO, IND. | GARY-HAMMOND-EAST CHICAGO, IND | GARY-HAMMOND-EAST CHICAGO, IND..",18,1968,pages_09_10.json
"GARY-HAMMOND-EAST CHICAGO,IND","GARY-HAMMOND-EAST CHICAGO,IND. 3",18,1967,pages_09_10.json
"GASTONIA, NC","GASTONIA, N.C.",15,1971,pages_11_12.json
"GRAND FORKS, ND-MN","GRAND FORKS, ND-MN",15,1977,pages_11_12.json
"GRAND RAPIDS, MICH","GRAND RAPIDS, MICH. 3 | GRAND RAPIDS, MICH. | GRAND RAPIDS, MICH..",24,1967,pages_09_10.json
"GREAT FALLS, MONT","GREAT FALLS, MONT.",27,1967,pages_09_10.json
"GREELEY, COLO","GREELEY, COLO.",18,1975,pages_11_12.json
"GREEN BAY, WIS","GREEN BAY, WIS. | GREEN BAY, WIS..",30,1967,pages_09_10.json
"GREENSBORO-WINSTON-SALEM,","GREENSBORO-WINSTON-SALEM,",33,1978,pages_11_12.json
"GREENSBORO-WINSTON-SALEM, HIGH POINT,","GREENSBORO-WINSTON-SALEM, HIGH POINT,",36,1979,pages_11_12.json
"GREENSBORO-WINSTON-SALEM, HIGH POINT, NC","GREENSBORO-WINSTON-SALEM, HIGH POINT, N.C. | GREENSBORO-WINSTON-SALEM, HIGH POINT, N.C..",1,1972,pages_11_12.json
"GREENSBORO-WINSTON-SALEM-HIGH POINT, NC","GREENSBORO-WINSTON-SALEM-HIGH POINT, N.C. 3 | GREENSBORO-WINSTON-SALEM-HIGH POINT, N.C.",33,1967,pages_09_10.json
"GREENVILLE, S C","GREENVILLE, S. C.",39,1967,pages_09_10.json
"GREENVILLE, SC","GREENVILLE, S.C.",39,1968,pages_09_10.json
"GREENVILLE-SPARTANBURG, SC","GREENVILLE-SPARTANBURG, S.C.",10,1973,pages_11_12.json
"HAMILTON-MIDDLETOWN, OHIO","HAMILTON-MIDDLETOWN, OHIO | HAMILTON-MIDDLETOWN, OHIO.",42,1967,pages_09_10.json
"HARRISBURG, PA","HARRISBURG, PA. | HARRISBURG, PA..",47,1967,pages_09_10.json
"HARTFORD, CONN","HARTFORD, CONN. 3 | HARTFORD, CONN. | HARTFORD, CONN..",50,1967,pages_09_10.json
"HONOLULU, HAWAII","HONOLULU, HAWAII 3 | HONOLULU, HAWAII | HONOLULU, HAWAII .",53,1967,pages_09_10.json
"HOUSTON, TEX","HOUSTON, TEX. 3 | HOUSTON, TEX. | HOUSTON, TEX | HOUSTON, TEX..",56,1967,pages_09_10.json
HUNTINGTON-ASHLAND WV-KY-OH,HUNTINGTON-ASHLAND WV-KY-OH.,27,1972,pages_11_12.json
"HUNTINGTON-ASHLAND, WVA-KY-OHIO","HUNTINGTON-ASHLAND, W.VA.-KY.-OHIO",1,1967,pages_11_12.json
"HUNTSVILLE, ALA","HUNTSVILLE, ALA.",6,1967,pages_11_12.json
"INDIANAPOLIS, IND","INDIANAPOLIS, IND.",9,1967,pages_11_12.json
"IOWA CITY, IOWA","IOWA CITY, IOWA.",7,1979,pages_13_14.json
"JACKSON, MICH","JACKSON, MICH.",12,1967,pages_11_12.json
"JACKSON, MISS","JACKSON, MISS. | JACKSON, MISS",15,1967,pages_11_12.json
"JACKSONVILLE, FLA","JACKSONVILLE, FLA.",18,1967,pages_11_12.json
"JANESVILLE-BELOIT, WIS","JANESVILLE-BELOIT, WIS.. | JANESVILLE-BELOIT, WIS.",13,1978,pages_13_14.json
"JERSEY CITY, NJ","JERSEY CITY, N.J. | JERSEY CITY, N.J..",21,1967,pages_11_12.json
JOHNSON CITY-KINGSPORT-BRISTOL TENN-VA,JOHNSON CITY-KINGSPORT-BRISTOL TENN.-VA.,7,1975,pages_13_14.json
"JOHNSTOWN, PA","JOHNSTOWN, PA.",24,1967,pages_11_12.json
"JOSEPH, MO","JOSEPH, MO..",64,1976,pages_23_24.json
"KALAMAZOO, MICH","KALAMAZOO, MICH.",27,1967,pages_11_12.json
"KALAMAZOO-PORTAGE, MICH","KALAMAZOO-PORTAGE, MICH.",58,1973,pages_11_12.json
"KANKAKEE, ILL","KANKAKEE, ILL.",21,1975,pages_13_14.json
"KANSAS CITY, MO-KANS","KANSAS CITY, MO.-KANS.",30,1967,pages_11_12.json
"KENOSHA, WIS","KENOSHA, WIS. | KENOSHA, WIS..",35,1967,pages_11_12.json
"KILLEEN-TEMPLE, TEX","KILLEEN-TEMPLE, TEX.",30,1971,pages_13_14.json
"KINGSPORT-BRISTOL, TENN-VA","KINGSPORT-BRISTOL, TENN.-VA.",9,1973,pages_13_14.json
"KNOXVILLE, TENN","KNOXVILLE, TENN.",38,1967,pages_11_12.json
"KOKOMO, IND","KOKOMO, IND.",46,1977,pages_13_14.json
"LACROSSE, WIS","LACROSSE, WIS.",38,1971,pages_13_14.json
"LAFAYETTE, LA","LAFAYETTE, LA.",46,1967,pages_11_12.json
"LAFAYETTE-WEST LAFAYETTE, IND","LAFAYETTE-WEST LAFAYETTE, IND.",41,1967,pages_11_12.json
"LAKE CHARLES, LA","LAKE CHARLES, LA. | LAKE CHARLES, LA..",49,1967,pages_11_12.json
"LAKELAND-WINTER HAVEN, FLA","LAKELAND-WINTER HAVEN, FLA. | LAKELAND-WINTER HAVEN, FLA..",52,1971,pages_13_14.json
"LANCASTER, PA","LANCASTER, PA.",52,1967,pages_11_12.json
"LANSING, MICH","LANSING, MICH.",55,1967,pages_11_12.json
"LANSING-EAST LANSING, MICH","LANSING-EAST LANSING, MICH. | LANSING-EAST LANSING, MICH..",1,1971,pages_15_16.json
"LAREDO, TEX","LAREDO, TEX.",1,1967,pages_13_14.json
"LAS CRUCES, NMEX","LAS CRUCES, N.MEX.",28,1979,pages_15_16.json
"LAS VEGAS, NEV","LAS VEGAS, NEV. 3 | LAS VEGAS, NEV.",4,1967,pages_13_14.json
"LAWRENCE, KANS","LAWRENCE, KANS.",15,1977,pages_15_16.json
LAWRENCE-HAVERHILL MA-NH,LAWRENCE-HAVERHILL MA-NH,42,1972,pages_13_14.json
"LAWRENCE-HAVERHILL, MASS-NH","LAWRENCE-HAVERHILL, MASS.-N.H.",7,1967,pages_13_14.json
"LAWTON, OKLA","LAWTON, OKLA.",12,1967,pages_13_14.json
"LEWISTON-AUBURN, MAINE","LEWISTON-AUBURN, MAINE",15,1967,pages_13_14.json
"LEXINGTON, KY","LEXINGTON, KY. 3 | LEXINGTON, KY.",20,1967,pages_13_14.json
"LEXINGTON-FAYETTE, KY","LEXINGTON-FAYETTE, KY.",1,1974,pages_15_16.json
"LIMA, OHIO","LIMA, OHIO",23,1967,pages_13_14.json
"LINCOLN, NEBR","LINCOLN, NEBR.",26,1967,pages_13_14.json
"LITTLE ROCK-N LITTLE ROCK, ARK","LITTLE ROCK-N. LITTLE ROCK, ARK.",4,1973,pages_15_16.json
"LITTLE ROCK-NLITTLE ROCK, ARK","LITTLE ROCK-N.LITTLE ROCK, ARK.",64,1972,pages_13_14.json
"LITTLE ROCK-NORTH LITTLE ROCK, ARK","LITTLE ROCK-NORTH LITTLE ROCK, ARK. 3 | LITTLE ROCK-NORTH LITTLE ROCK, ARK.",29,1967,pages_13_14.json
"LONG BRANCH-ASBURY PARK, NJ","LONG BRANCH-ASBURY PARK, N.J. | LONG BRANCH-ASBURY PARK, N.J..",39,1971,pages_15_16.json
"LONGVIEW, TEX","LONGVIEW, TEX.",39,1975,pages_15_16.json
"LONGVIEW-MARSHALL, TEX","LONGVIEW-MARSHALL, TEX.",58,1978,pages_15_16.json
"LORAIN-ELYRIA, OHIO","LORAIN-ELYRIA, OHIO | LORAIN-ELYRIA, OHIO.",34,1967,pages_13_14.json
"LOS ANGELES-LONG BEACH, CALIF","LOS ANGELES-LONG BEACH, CALIF. 3 | LOS ANGELES-LONG BEACH, CALIF.",39,1967,pages_13_14.json
LOUISVILLE KY-IND,LOUISVILLE KY.-IND.,16,1979,pages_17_18.json
"LOUISVILLE, KY-IND","LOUISVILLE, KY.-IND. 3 | LOUISVILLE, KY.-IND.",44,1967,pages_13_14.json
"LOWELL, MASS","LOWELL, MASS.",47,1967,pages_13_14.json
"LOWELL, MASS-NH","LOWELL, MASS.-N.H.",27,1973,pages_15_16.json
"LUBBOCK, TEX","LUBBOCK, TEX. 3 | LUBBOCK, TEX. | LUBBOCK, TEX.3",50,1967,pages_13_14.json
"LYNCHBURG, VA","LYNCHBURG, VA.",53,1967,pages_13_14.json
"MACON, GA","MACON, GA.",7,1967,pages_15_16.json
"MADISON, WIS","MADISON, WIS. | MADISON, WIS.3",10,1967,pages_15_16.json
"MANCHESTER, NH","MANCHESTER, N.H.",13,1967,pages_15_16.json
"MANSFIELD, OHIO","MANSFIELD, OHIO | MANSFIELD, OHIO.",16,1967,pages_15_16.json
"MCALLEN-PHARR-EDINBURG, TEX","MCALLEN-PHARR-EDINBURG, TEX.",1,1967,pages_15_16.json
"MELBOURNE-TITUSVILLE-COCOA, FLA","MELBOURNE-TITUSVILLE-COCOA, FLA.",25,1971,pages_17_18.json
"MEMPHIS, TENN-ARK","MEMPHIS, TENN.-ARK. | MEMPHIS, TENN.-ARK.3",19,1967,pages_15_16.json
"MEMPHIS, TENN-ARK-MISS","MEMPHIS, TENN.-ARK.-MISS.. | MEMPHIS, TENN.-ARK.-MISS.",60,1973,pages_15_16.json
"MERIDEN, CONN","MERIDEN, CONN.",22,1967,pages_15_16.json
"MIAMI, FLA","MIAMI, FLA. | MIAMI, FLA.3 | MIAMI, FLA..",25,1967,pages_15_16.json
"MIDLAND, TEX","MIDLAND, TEX.",28,1967,pages_15_16.json
"MILWAUKEE, WIS","MILWAUKEE, WIS. | MILWAUKEE, WIS.3",31,1967,pages_15_16.json
"MINNEAPOLIS-ST PAUL, MINN","MINNEAPOLIS-ST. PAUL, MINN. | MINNEAPOLIS-ST. PAUL, MINN.3 | MINNEAPOLIS-ST. PAUL, MINN..",34,1967,pages_15_16.json
"MINNEAPOLIS-ST PAUL, MN-WI","MINNEAPOLIS-ST. PAUL, MN-WI.",7,1973,pages_17_18.json
"MOBILE, ALA","MOBILE, ALA. | MOBILE, ALA",39,1967,pages_15_16.json
"MODESTO, CALIF","MODESTO, CALIF. | MODESTO, CALIF..",54,1971,pages_17_18.json
"MONROE, LA","MONROE, LA. | MONROE, LA..",42,1967,pages_15_16.json
"MONTGOMERY, ALA","MONTGOMERY, ALA.",45,1967,pages_15_16.json
"MUNCIE, IND","MUNCIE, IND.",48,1967,pages_15_16.json
"MUSKEGON-MUSKEGON HEIGHTS, MICH","MUSKEGON-MUSKEGON HEIGHTS, MICH.",51,1967,pages_15_16.json
"MUSKEGON-MUSKEGON HGHTS, MICH","MUSKEGON-MUSKEGON HGHTS, MICH.",7,1971,pages_19_20.json
MUSKEGON-NORTON SHORES-,MUSKEGON-NORTON SHORES-,57,1975,pages_17_18.json
MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS,MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS.,21,1979,pages_19_20.json
"MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH","MUSKEGON-NORTON SHORES-MUSKEGON HEIGHTS, MICH.",1,1977,pages_19_20.json
"NASHUA, NH","NASHUA, N.H.",12,1971,pages_19_20.json
NASHVILLE AND DAVIDSON COUNTY TENN,NASHVILLE AND DAVIDSON COUNTY TENN.3,56,1968,pages_15_16.json
"NASHVILLE, TENN","NASHVILLE, TENN.",56,1967,pages_15_16.json
"NASHVILLE-DAVIDSON, TENN","NASHVILLE-DAVIDSON, TENN. | NASHVILLE-DAVIDSON, TENN..",35,1973,pages_17_18.json
NASSAU-SUFFOLK,NASSAU-SUFFOLK 2.,66,1972,pages_17_18.json
"NASSAU-SUFFOLK, NY","NASSAU-SUFFOLK, N.Y.",38,1973,pages_17_18.json
"NEW BEDFORD, MASS","NEW BEDFORD, MASS. | NEW BEDFORD, MASS",4,1967,pages_17_18.json
"NEW BRITAIN, CONN","NEW BRITAIN, CONN.",7,1967,pages_17_18.json
"NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE,","NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE,",41,1979,pages_19_20.json
"NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE, NJ","NEW BRUNSWICK-PERTH AMBOY-SAYREVILLE, N.J. | NEW BRUNSWICK-PERTH AMBOY- SAYREVILLE, N.J..",27,1971,pages_19_20.json
"NEW HAVEN, CONN","NEW HAVEN, CONN.",10,1967,pages_17_18.json
"NEW HAVEN-WEST HAVEN, CONN","NEW HAVEN-WEST HAVEN, CONN. | NEW HAVEN-WEST HAVEN, CONN..",55,1973,pages_17_18.json
"NEW LONDON-GROTON-NORWICH, CONN","NEW LONDON-GROTON-NORWICH, CONN.",13,1967,pages_17_18.json
"NEW LONDON-NORWICH, CT-RI","NEW LONDON-NORWICH, CT.-R.I.",60,1973,pages_17_18.json
"NEW ORLEANS, LA","NEW ORLEANS, LA.",19,1967,pages_17_18.json
"NEW YORK, NY","NEW YORK, N.Y.",27,1967,pages_17_18.json
"NEW YORK, NY-NJ","NEW YORK, N.Y.-N.J. | NEW YORK, N.Y.-N.J..",6,1973,pages_19_20.json
"NEWARK, NJ","NEWARK, N.J.",1,1967,pages_17_18.json
"NEWPORT NEWS-HAMPTON, VA","NEWPORT NEWS-HAMPTON, VA. | NEWPORT NEWS-HAMPTON, VA.. | NEWPORT NEWS-HAMPTON, VA.. . . . . . .",22,1967,pages_17_18.json
"NORFOLK-PORTSMOUTH, VA","NORFOLK-PORTSMOUTH, VA.",35,1967,pages_17_18.json
NORFOLK-VIRGINIA BEACH-PORTSMOUT VA-NC,NORFOLK-VIRGINIA BEACH-PORTSMOUT VA.-N.C..,22,1974,pages_19_20.json
NORFOLK-VIRGINIA BEACH-PORTSMOUTH VA-NC,NORFOLK-VIRGINIA BEACH-PORTSMOUTH VA.-N.C.,14,1973,pages_19_20.json
"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA","NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA.",52,1971,pages_19_20.json
"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC","NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC | NORFOLK-VIRGINIA BEACH- PORTSMOUTH, VA-NC | NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC . . . . . . . . . .",47,1975,pages_19_20.json
"NORTHEAST PENNSYLVANIA, PA","NORTHEAST PENNSYLVANIA, PA. | NORTHEAST PENNSYLVANIA, PA.. | NORTHEAST PENNSYLVANIA, PA.. . . . . .",20,1973,pages_19_20.json
"NORWALK, CONN","NORWALK, CONN. | NORWALK, CONN. . . . . . . . . . . . .",40,1967,pages_17_18.json
"NORWICH-GROTON- NEW LONDON, CONN","NORWICH-GROTON-
NEW LONDON, CONN.",4,1971,pages_21_22.json
"NORWICH-GROTON-NEW LONDON, CONN","NORWICH-GROTON-NEW LONDON, CONN.",10,1972,pages_19_20.json
"ODESSA, TEX","ODESSA, TEX. | ODESSA, TEX. . . . . . . . . . . . . .",43,1967,pages_17_18.json
"OGDEN, UTAH","OGDEN, UTAH",46,1967,pages_17_18.json
