smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"TALLAHASSEE, FLA",1969,1655,1655,838,14,107,696,0,53,28696,28696,14196,96,892,13512,0,FL,FL,Inf,-Inf,0
"TAMPA-ST PETERSBURG, FLA",1969,15538,15438,6683,786,279,7690,100,258,191541,190632,107182,5455,2301,75693,909,FL,FL,Inf,-Inf,0
"TERRE HAUTE, IND",1969,330,130,46,0,0,84,200,10,4440,1790,907,0,0,883,2650,IN,IN,1972,-3,0
"TEXARKANA, TEX-ARK",1969,476,476,202,2,0,272,0,22,4410,4410,2229,12,0,2169,0,TX-AR,TX,Inf,-Inf,0
"TOLEDO, OHIO-MICH",1969,4220,4220,1853,138,58,2171,0,119,59870,59870,36858,1315,774,20923,0,OH-MI,OH,Inf,-Inf,0
"TOPEKA, KANS",1969,1376,1376,454,10,92,820,0,43,17475,17475,9099,127,789,7461,0,KS,KS,Inf,-Inf,0
"TRENTON, NJ",1969,1969,1969,981,0,0,988,0,35,30453,30453,20851,0,0,9602,0,NJ,NJ,1989,-20,0
"TUCSON, ARIZ",1969,4366,4366,2952,100,506,808,0,45,65011,65011,51918,1346,4480,7268,0,AZ,AZ,Inf,-Inf,0
"TULSA, OKLA",1969,5073,5073,1590,190,124,3169,0,260,53126,53126,22506,2487,1228,26905,0,OK,OK,Inf,-Inf,0
"TUSCALOOSA, ALA",1969,537,537,281,4,17,235,0,12,6725,6725,4882,38,130,1675,0,AL,AL,Inf,-Inf,0
"TYLER, TEX",1969,373,373,214,16,0,143,0,5,5965,5965,4990,105,0,1310,0,TX,TX,Inf,-Inf,0
"UTICA-ROME, NY",1969,764,764,340,0,8,416,0,40,9749,9749,5745,0,66,3939,0,NY,NY,1975,-6,0
"VALLEJO-FAIRFIELD-NAPA, CALIF",1969,1910,1910,1222,118,336,234,0,32,31038,31038,24431,1239,3248,2121,0,CA,CA,1970,-1,0
"VINELAND-MILLVILLE-BRIDGETON, NJ",1969,1144,994,623,4,0,367,150,29,15740,13800,10942,32,0,2827,1939,NJ,NJ,1989,-20,0
"WACO, TEX",1969,498,498,231,26,40,201,0,5,7125,7125,4943,343,515,1325,0,TX,TX,Inf,-Inf,0
"WASHINGTON, DC-MD-VA",1969,25517,25197,15987,32,4,9174,320,290,378098,372365,288633,227,55,83450,5734,DC-MD-VA,DC,1973,-4,0
"WATERBURY, CONN",1969,831,831,472,12,83,264,0,15,11614,11614,8570,101,645,2298,0,CT,CT,1973,-4,0
"WATERLOO-CEDAR FALLS, IOWA",1969,678,678,413,22,12,231,0,14,10885,10885,7920,249,133,2583,0,IA,IA,Inf,-Inf,0
"WEST PALM BEACH-BOCA RATON, FLA",1969,13321,13321,3182,356,355,9428,0,355,223712,223712,67200,3293,3576,149644,0,FL,FL,Inf,-Inf,0
"WHEELING, WVA-OHIO",1969,727,727,138,8,12,569,0,29,9842,9842,2572,34,328,6908,0,WV-OH,WV,Inf,-Inf,0
"WICHITA, KANS",1969,1916,1816,601,62,195,958,100,68,25692,23864,12223,983,1780,8878,1828,KS,KS,Inf,-Inf,0
"WICHITA FALLS, TEX",1969,278,278,213,2,47,16,0,1,3980,3980,3428,34,447,72,0,TX,TX,Inf,-Inf,0
"WILKES-BARRE-HAZELTON, PA",1969,1211,1161,596,2,4,559,50,16,16857,15979,10281,40,30,5628,877,PA,PA,Inf,-Inf,0
"WILMINGTON, DEL-NJ-MD",1969,3995,3995,1892,14,4,2085,0,99,44592,44592,30115,129,18,14329,0,DEL-NJ-MD,DE,1973,-4,0
"WILMINGTON, NC",1969,1367,1367,928,24,63,352,0,33,18359,18359,14779,264,660,2656,0,NC,NC,1971,-2,0
"WORCESTER, MASS",1969,1907,1766,837,34,42,853,141,53,22250,20162,13881,359,478,5444,2088,MA,MA,1977,-8,0
"YORK, PA",1969,1729,1729,812,8,4,905,0,63,22365,22365,15762,118,33,6452,0,PA,PA,Inf,-Inf,0
"YOUNGSTOWN-WARREN, OHIO",1969,2898,2898,1495,32,110,1261,0,118,42320,42320,30129,330,863,10999,0,OH,OH,Inf,-Inf,0
"AKRON, OHIO",1970,3434,3434,1442,282,231,1479,0,83,66893,66893,37699,4472,3479,21244,0,OH,OH,Inf,-Inf,0
"ALBANY-SCHENECTADY-TROY, NY",1970,3872,3872,1768,154,90,1860,0,122,61392,61392,36938,1976,730,21747,0,NY,NY,1975,-5,0
"ALBUQUERQUE, NMEX",1970,3745,3745,2179,16,112,1438,0,46,61587,61587,44925,129,1099,15435,0,NM,NM,Inf,-Inf,0
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",1970,3597,3397,1571,66,27,1733,200,103,52090,48419,33201,735,276,14206,3671,PA-NJ,PA,1989,-19,0
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF",1970,23410,23410,7318,290,922,14880,0,1203,365028,365028,186157,4788,12729,161354,0,CA,CA,1970,0,1
"ANN ARBOR, MICH",1970,3332,3332,1556,20,57,1699,0,93,49931,49931,28257,356,1217,20101,0,MI,MI,Inf,-Inf,0
"ATLANTA, GA",1970,30489,29869,10132,136,167,19434,620,1502,348681,339250,169071,1197,1640,167342,9431,GA,GA,1991,-21,0
"AUSTIN, TEX",1970,4866,4766,1927,366,114,2359,100,75,70086,68366,38258,5053,1312,23743,1720,TX,TX,Inf,-Inf,0
"BAKERSFIELD, CALIF",1970,2557,2557,1506,160,317,574,0,58,37761,37761,27861,1556,3051,5292,0,CA,CA,1970,0,1
"BALTIMORE, MD",1970,16681,16431,5814,126,8,10483,250,617,230513,226119,119290,1536,58,105235,4394,MD,MD,1973,-3,0
"BATON ROUGE, LA",1970,2714,2714,1624,26,128,936,0,21,40126,40126,29624,318,1065,9119,0,LA,LA,Inf,-Inf,0
"BIRMINGHAM, ALA",1970,5182,5142,3020,56,143,1923,40,154,76135,75611,54229,570,1514,19299,524,AL,AL,Inf,-Inf,0
"BOSTON, MASS",1970,15730,15373,2882,338,85,12068,357,361,247953,241978,71579,4339,1122,164938,5975,MA,MA,1977,-7,0
"BRIDGEPORT, CONN",1970,1641,1641,725,40,105,771,0,53,27319,27319,18043,503,1614,7159,0,CT,CT,1973,-3,0
"BUFFALO, NY",1970,5398,5148,2787,408,69,1884,250,143,76921,70368,46145,3325,778,20120,6553,NY,NY,1975,-5,0
"CHARLESTON-NORTH CHARLESTON, SC",1970,1651,1651,1245,38,57,311,0,24,17496,17496,14914,271,481,1830,0,SC,SC,Inf,-Inf,0
"CHARLOTTE-GASTONIA, NC",1970,6687,6369,2601,42,248,3478,318,363,77188,74253,41913,341,2343,29656,2935,NC,NC,1971,-1,0
"CHATTANOOGA, TENN-GA",1970,2842,2742,1406,400,51,885,100,22,34247,32815,18854,3294,336,10332,1432,TN-GA,TN,1991,-21,0
"CHICAGO, ILL",1970,39306,38703,15604,694,1036,21369,603,972,676022,666918,357047,9295,15715,284860,9104,IL,IL,Inf,-Inf,0
"CINCINNATI, OHIO-KY-IND",1970,8128,7928,3042,80,162,4644,200,263,110225,107235,61235,1244,2476,42280,2990,OH-KY-IN,OH,1972,-2,0
"CLEVELAND, OHIO",1970,7995,7491,4046,152,47,3246,504,93,149032,143909,103508,2207,760,37434,5123,OH,OH,Inf,-Inf,0
"COLORADO SPRINGS, COLO",1970,4956,4956,2985,50,39,1882,0,140,49442,49442,36659,359,285,12139,0,CO,CO,Inf,-Inf,0
"COLUMBUS, GA-ALA",1970,3274,2934,2093,28,20,793,340,40,36606,31531,26776,300,133,4323,5075,GA-AL,GA,1991,-21,0
"COLUMBUS, OHIO",1970,10442,10442,4043,340,676,5383,0,365,137643,137643,82176,3763,5244,46459,0,OH,OH,Inf,-Inf,0
"DALLAS-FORT WORTH, TEX",1970,37358,37358,14740,716,561,21341,0,552,397605,397605,225964,8063,6665,156914,0,TX,TX,Inf,-Inf,0
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL",1970,1334,1334,1160,18,12,144,0,12,20128,20128,18509,180,110,1329,0,IA-IL,IA,Inf,-Inf,0
"DAYTON, OHIO",1970,7906,7906,3340,400,324,3842,0,270,106642,106642,63065,4224,2868,36486,0,OH,OH,Inf,-Inf,0
"DENVER-BOULDER, COLO",1970,20790,20690,9884,344,305,10157,100,449,247826,246026,162249,3632,2998,77146,1800,CO,CO,Inf,-Inf,0
"DETROIT, MICH",1970,21908,21908,12171,172,180,9385,0,593,373382,373382,261207,2297,4132,105746,0,MI,MI,Inf,-Inf,0
"EL PASO, TEX",1970,3919,3855,2084,44,49,1678,64,202,48398,47668,30633,419,433,16183,730,TX,TX,Inf,-Inf,0
"EUGENE-SPRINGFIELD, OREG",1970,1970,1970,1208,146,29,587,0,48,27337,27337,20483,1846,328,4681,0,OR,OR,Inf,-Inf,0
"FLINT, MICH",1970,4183,4183,2509,16,20,1638,0,146,54999,54999,41671,171,199,12957,0,MI,MI,Inf,-Inf,0
"FORT LAUDERDALE-HOLLYWOOD, FLA",1970,17327,17327,4045,898,612,11772,0,282,331858,331858,90839,12389,8527,220103,0,FL,FL,Inf,-Inf,0
"FRESNO, CALIF",1970,4660,4660,1688,324,931,1717,0,194,51852,51852,26493,3066,7878,14415,0,CA,CA,1970,0,1
"GARY-HAMMOND-EAST CHICAGO, IND",1970,4090,4090,1786,166,139,1999,0,89,58503,58503,36523,1958,1438,18584,0,IN,IN,1972,-2,0
"GRAND RAPIDS, MICH",1970,3487,3487,2365,128,40,954,0,53,50998,50998,41420,1474,382,7722,0,MI,MI,Inf,-Inf,0
"GREENSBORO-WINSTON-SALEM-HIGH POINT, NC",1970,6284,6284,3526,30,62,2666,0,175,75216,75216,52360,248,501,22108,0,NC,NC,1971,-1,0
"HARTFORD, CONN",1970,4884,4794,1417,122,181,3074,90,176,57468,56392,29356,1650,2604,22783,1076,CT,CT,1973,-3,0
"HONOLULU, HAWAII",1970,7970,7970,3802,206,108,3854,0,114,170836,170836,76872,4828,1490,87646,0,HI,HI,1974,-4,0
"HOUSTON, TEX",1970,21973,21973,3724,164,197,17888,0,1263,219470,219470,77698,2188,1659,137924,0,TX,TX,Inf,-Inf,0
"HUNTSVILLE, ALA",1970,951,951,741,60,30,120,0,3,10844,10844,8338,411,139,1956,0,AL,AL,Inf,-Inf,0
"INDIANAPOLIS, IND",1970,7154,7154,3421,162,56,3515,0,136,92326,92326,63741,1422,625,26539,0,IN,IN,1972,-2,0
"JACKSONVILLE, FLA",1970,5948,5948,1699,22,109,4118,0,311,61221,61221,21917,165,781,38358,0,FL,FL,Inf,-Inf,0
"JERSEY CITY, NJ",1970,964,964,72,430,13,449,0,12,11064,11064,1393,4965,101,4605,0,NJ,NJ,1989,-19,0
"KANSAS CITY, MO-KANS",1970,10615,10339,4239,828,335,4937,276,362,152968,148271,80348,10398,3962,53564,4697,MO-KS,MO,Inf,-Inf,0
"KNOXVILLE, TENN",1970,2476,2426,1768,66,16,576,50,27,31439,30722,25201,562,107,4852,717,TN,TN,Inf,-Inf,0
"LANSING-EAST LANSING, MICH",1970,2406,2406,1724,104,27,551,0,21,45099,45099,36629,1678,277,6514,0,MI,MI,Inf,-Inf,0
"LAS VEGAS, NEV",1970,6275,5775,4049,158,70,1498,500,166,105458,96918,76173,2164,783,17798,8540,NV,NV,Inf,-Inf,0
"LEXINGTON-FAYETTE, KY",1970,3282,3282,1325,34,48,1875,0,90,37104,37104,20773,329,470,15533,0,KY,KY,Inf,-Inf,0
"LITTLE ROCK-NORTH LITTLE ROCK, ARK",1970,2955,2955,1374,32,60,1489,0,77,43443,43443,27795,348,698,14602,0,AR,AR,Inf,-Inf,0
"LOS ANGELES-LONG BEACH, CALIF",1970,46471,46471,8447,556,1266,36202,0,1501,691676,691676,203695,8317,15121,464543,0,CA,CA,1970,0,1
"LOUISVILLE, KY-IND",1970,8203,7917,3205,8,154,4550,286,243,98697,94571,53920,101,1027,39523,4126,KY-IN,KY,1972,-2,0
"LUBBOCK, TEX",1970,1291,1291,516,30,53,692,0,16,18030,18030,11438,430,387,5776,0,TX,TX,Inf,-Inf,0
"MADISON, WIS",1970,2882,2882,1019,176,17,1670,0,86,32782,32782,18587,2548,200,11448,0,WI,WI,1972,-2,0
"MEMPHIS, TENN-ARK",1970,7429,7231,4624,314,18,2275,198,99,91059,88321,66484,2535,174,19129,2738,TN-AR,TN,Inf,-Inf,0
"MIAMI, FLA",1970,19530,19015,5622,1216,549,11628,515,426,319263,310614,114705,14907,6149,174853,8649,FL,FL,Inf,-Inf,0
"MILWAUKEE, WIS",1970,7037,7037,3890,464,145,2538,0,146,106945,106945,75213,6143,1534,24055,0,WI,WI,1972,-2,0
"MINNEAPOLIS-ST PAUL, MN-WI",1970,17145,15845,5357,308,63,10117,1300,256,285484,270362,137661,4942,823,126936,15122,MN-WI,MN,1972,-2,0
"NASHVILLE-DAVIDSON, TENN",1970,4721,4721,2511,282,18,1910,0,76,53119,53119,32633,2085,143,18259,0,TN,TN,Inf,-Inf,0
"NEWARK, NJ",1970,5327,5327,2473,184,26,2644,0,135,87289,87289,60346,1965,354,24625,0,NJ,NJ,1989,-19,0
"NEW HAVEN-WEST HAVEN, CONN",1970,2518,2395,601,38,231,1525,123,72,29302,27287,13111,442,3270,10465,2015,CT,CT,1973,-3,0
"NEW ORLEANS, LA",1970,9005,9005,5229,432,679,2665,0,97,134627,134627,92667,6091,6478,29391,0,LA,LA,Inf,-Inf,0
"NEWPORT NEWS-HAMPTON, VA",1970,4149,4149,1139,66,15,2929,0,354,41781,41781,17407,520,75,23779,0,VA,VA,1973,-3,0
"NEW YORK, NY-NJ",1970,36253,33568,11646,3544,191,18187,2685,309,640725,572903,219403,41643,1993,309863,67822,NY-NJ,NY,1975,-5,0
"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC",1970,5989,5989,2036,186,63,3704,0,379,75967,75967,37401,1576,579,36412,0,VA-NC,VA,1971,-1,0
"OKLAHOMA CITY, OKLA",1970,9392,9092,3726,100,87,5179,300,150,126322,121639,69292,1592,787,49968,4683,OK,OK,Inf,-Inf,0
"OMAHA, NEBR-IOWA",1970,5139,5034,2389,44,18,2583,105,131,46302,44980,28432,398,217,15933,1322,NE-IA,NE,Inf,-Inf,0
"ORLANDO, FLA",1970,7316,7316,5371,140,8,1797,0,100,96881,96881,77415,1271,66,18130,0,FL,FL,Inf,-Inf,0
"OXNARD-SIMI VALLEY- VENTURA, CALIF",1970,5263,5263,2496,80,1147,1540,0,139,86925,86925,56864,1274,12575,16212,0,CA,CA,1970,0,1
"PATERSON-CLIFTON-PASSAIC, NJ",1970,5223,5223,1418,376,21,3408,0,141,91378,91378,40129,5523,252,45475,0,NJ,NJ,1989,-19,0
"PHILADELPHIA, PA-NJ",1970,23624,23552,9379,694,333,13146,72,680,286317,285174,173413,5430,2872,103459,1143,PA-NJ,PA,1989,-19,0
"PHOENIX, ARIZ",1970,20772,20622,13287,992,1238,5105,150,380,254493,251752,186612,10851,8977,45313,2741,AZ,AZ,Inf,-Inf,0
"PITTSBURGH, PA",1970,8034,7974,4894,96,203,2781,60,105,122395,121573,89792,1022,2455,28304,822,PA,PA,Inf,-Inf,0
"PORTLAND, OREG-WASH",1970,10482,10342,5536,736,1031,3039,140,225,149940,147985,105076,7276,8307,27326,1955,OR-WA,OR,1971,-1,0
"PROVIDENCE-PAWTUCKET-WARWICK, RI-MASS",1970,4563,4060,1855,124,61,2020,503,109,57168,49415,31268,1170,1495,15483,7753,RI-MA,RI,1977,-7,0
"RICHMOND, VA",1970,4788,4788,2410,92,975,1311,0,176,52739,52739,37337,589,8152,6661,0,VA,VA,1973,-3,0
"ROCHESTER, NY",1970,3840,3840,2282,66,46,1446,0,142,68374,68374,49191,903,535,17746,0,NY,NY,1975,-5,0
"SACRAMENTO, CALIF",1970,11601,11601,4949,374,1574,4704,0,358,159084,159084,90625,5429,18687,44342,0,CA,CA,1970,0,1
"ST LOUIS, MO-ILL",1970,11283,11283,6562,170,625,3926,0,259,175360,175360,123282,2101,6719,43259,0,MO-IL,MO,Inf,-Inf,0
"SALT LAKE CITY-OGDEN, UTAH",1970,5483,5483,3534,196,317,1436,0,90,72165,72165,52907,2609,3873,12776,0,UT,UT,Inf,-Inf,0
"SAN ANTONIO, TEX",1970,5450,5450,3553,58,50,1789,0,38,54565,54565,38615,461,545,14944,0,TX,TX,Inf,-Inf,0
"RIVERSIDE-SAN BERNARDINO-ONTARIO, CALIF",1970,9875,9875,5709,158,727,3281,0,267,144559,144559,101226,1775,8211,33347,0,CA,CA,1970,0,1
"SAN DIEGO, CALIF",1970,22761,22761,9566,758,375,12062,0,931,325686,325686,190646,10206,3967,120867,0,CA,CA,1970,0,1
"SAN FRANCISCO-OAKLAND, CALIF",1970,25648,25435,9501,546,1599,13789,213,818,405644,401684,205723,9060,20637,166264,3960,CA,CA,1970,0,1
"SAN JOSE, CALIF",1970,17779,17779,6362,408,1779,9230,0,734,264233,264233,137215,6320,20510,100189,0,CA,CA,1970,0,1
"SANTA BARBARA-SANTA MARIA-LOMPOC, CALIF",1970,1810,1810,596,122,155,937,0,70,30602,30602,16744,2105,1816,9937,0,CA,CA,1970,0,1
"SEATTLE-EVERETT, WASH",1970,10071,10071,5491,108,275,4197,0,190,167359,167359,112002,1580,3662,50116,0,WA,WA,1971,-1,0
"SPRINGFIELD-CHICOPEE-HOLYOKE, MASS-CONN",1970,2964,2964,1287,250,27,1400,0,59,35579,35579,22351,1851,404,10972,0,MA-CT,MA,1973,-3,0
"STOCKTON, CALIF",1970,2564,2564,956,228,400,980,0,59,32221,32221,16910,2563,4583,8165,0,CA,CA,1970,0,1
"SYRACUSE, NY",1970,1629,1629,993,96,18,522,0,29,23181,23181,18089,1192,245,3655,0,NY,NY,1975,-5,0
"TACOMA, WASH",1970,3384,3384,2186,184,151,863,0,59,48226,48226,37021,2217,1439,7550,0,WA,WA,1971,-1,0
"TAMPA-ST PETERSBURG, FLA",1970,18758,18422,7124,780,353,10165,336,415,223750,219772,108123,6116,2983,102550,3978,FL,FL,Inf,-Inf,0
"TOLEDO, OHIO-MICH",1970,4414,4414,1593,108,50,2663,0,131,58053,58053,30984,1284,551,25234,0,OH-MI,OH,Inf,-Inf,0
"TUCSON, ARIZ",1970,5946,5646,4010,154,211,1271,300,62,92832,87470,68151,1690,2895,14735,5362,AZ,AZ,Inf,-Inf,0
"TULSA, OKLA",1970,5243,5243,2104,306,154,2679,0,267,61692,61692,30751,3491,2025,25424,0,OK,OK,Inf,-Inf,0
"VALLEJO-FAIRFIELD-NAPA, CALIF",1970,2728,2728,1392,68,260,1008,0,84,37344,37344,24555,759,2479,9551,0,CA,CA,1970,0,1
"WASHINGTON, DC-MD-VA",1970,27688,27588,14494,60,8,13026,100,437,401072,399115,265264,459,55,133337,1957,DC-MD-VA,DC,1973,-3,0
"WEST PALM BEACH-BOCA RATON, FLA",1970,9715,9515,2691,476,611,5737,200,249,146228,142737,58429,4594,6956,72758,3491,FL,FL,Inf,-Inf,0
"WILMINGTON, DEL-NJ-MD",1970,3887,3887,2065,54,0,1768,0,81,47204,47204,33665,195,0,13343,0,DEL-NJ-MD,DE,1973,-3,0
"YOUNGSTOWN-WARREN, OHIO",1970,3084,3084,1437,54,175,1418,0,95,46500,46500,29821,687,1877,14115,0,OH,OH,Inf,-Inf,0
"ABILENE, TEX",1971,518,518,133,18,3,364,0,4,7332,7332,3427,309,20,3575,0,TX,TX,Inf,-Inf,0
"AKRON, OHIO",1971,6303,6303,3098,380,331,2494,0,111,115674,115674,71957,6419,5230,32069,0,OH,OH,Inf,-Inf,0
"ALBANY, GA",1971,1249,1249,800,68,70,311,0,51,16775,16775,12924,465,748,2638,0,GA,GA,1991,-20,0
"ALBANY-SCHENECTADY-TROY, NY",1971,6326,6119,2152,228,146,3593,207,156,109329,103244,46345,3010,1246,52642,6085,NY,NY,1975,-4,0
"ALBUQUERQUE, NMEX",1971,7834,7834,3345,46,442,4001,0,270,113694,113694,68515,537,4371,40272,0,NM,NM,Inf,-Inf,0
"ALEXANDRIA, LA",1971,361,361,214,0,35,112,0,9,4638,4638,3436,0,276,926,0,LA,LA,Inf,-Inf,0
"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",1971,4224,4164,2300,18,27,1819,60,143,64828,64224,46560,212,276,17176,605,PA-NJ,PA,1989,-18,0
"ALTOONA, PA",1971,237,237,186,2,8,41,0,6,4120,4120,3502,23,100,495,0,PA,PA,Inf,-Inf,0
"AMARILLO, TEX",1971,846,846,449,12,0,385,0,21,16848,16848,11073,200,0,5576,0,TX,TX,Inf,-Inf,0
"ANAHEIM-SANTA ANA-GARDEN GROVE, CALIF",1971,31254,31254,15219,404,3066,12565,0,1053,573709,573709,377132,7505,39618,149455,0,CA,CA,1970,1,1
"ANCHORAGE, ALASKA",1971,1022,1022,479,88,144,311,0,33,26930,26930,18035,2191,2099,4605,0,AK,AK,Inf,-Inf,0
"ANDERSON, IND",1971,618,618,474,112,7,25,0,5,10853,10853,9207,1296,100,250,0,IN,IN,1972,-1,0
"ANN ARBOR, MICH",1971,3818,3418,1804,36,147,1431,400,86,65776,60671,40630,541,1819,17681,5104,MI,MI,Inf,-Inf,0
"APPLETON-OSHKOSH, WIS",1971,2055,2055,1235,184,20,616,0,48,31436,31436,23005,2150,228,6053,0,WI,WI,1972,-1,0
"ASHEVILLE, NC",1971,191,191,187,4,0,0,0,0,3008,3008,2968,40,0,0,0,NC,NC,1971,0,1
"ATLANTA, GA",1971,48645,48290,14721,218,260,33091,355,2594,572212,567121,251401,1985,1554,312182,5091,GA,GA,1991,-20,0
"ATLANTIC CITY, NJ",1971,2360,2280,1314,82,23,861,80,36,50479,49421,42174,1041,169,6037,1058,NJ,NJ,1989,-18,0
"AUGUSTA, GA-SC",1971,4286,4286,2437,24,188,1637,0,164,47004,47004,30697,283,1837,14187,0,GA-SC,GA,1991,-20,0
"AUSTIN, TEX",1971,7571,7371,2591,920,271,3589,200,88,106551,104251,57306,13620,3289,30036,2300,TX,TX,Inf,-Inf,0
"BAKERSFIELD, CALIF",1971,2381,2381,1382,134,477,388,0,48,38166,38166,28123,1607,5259,3178,0,CA,CA,1970,1,1
"BALTIMORE, MD",1971,21776,21624,9302,74,19,12229,152,572,302829,300226,192301,1778,222,105925,2603,MD,MD,1973,-2,0
"BATON ROUGE, LA",1971,5923,5923,2835,90,15,2983,0,61,85470,85470,53302,1124,250,30794,0,LA,LA,Inf,-Inf,0
"BATTLE CREEK, MICH",1971,880,880,547,0,12,321,0,23,12235,12235,9478,0,151,2607,0,MI,MI,Inf,-Inf,0
"BAY CITY, MICH",1971,739,739,735,4,0,0,0,0,12990,12990,12952,38,0,0,0,MI,MI,Inf,-Inf,0
"BEAUMONT-PORT ARTHUR-ORANGE, TEX",1971,1647,1647,708,14,23,902,0,35,20753,20753,13438,103,168,7044,0,TX,TX,Inf,-Inf,0
"BILLINGS, MONT",1971,579,579,281,8,44,246,0,18,9558,9558,5952,113,599,2894,0,MT,MT,1971,0,1
"BILOXI-GULFPORT, MISS",1971,2424,2182,1108,16,238,820,242,79,27102,23114,15269,127,1773,5945,3988,MS,MS,Inf,-Inf,0
"BINGHAMTON, NY-PA",1971,862,862,546,16,23,277,0,5,19522,19522,13914,196,236,5177,0,NY-PA,NY,1975,-4,0
"BIRMINGHAM, ALA",1971,8952,8952,3464,186,339,4963,0,366,108954,108954,64431,1701,2761,40061,0,AL,AL,Inf,-Inf,0
"BLOOMINGTON-NORMAL, ILL",1971,1789,1789,551,16,158,1064,0,103,22650,22650,12241,252,1599,8557,0,IL,IL,Inf,-Inf,0
"BOISE CITY, IDAHO",1971,1228,1228,367,56,89,716,0,18,15695,15695,6902,630,1080,7083,0,ID,ID,Inf,-Inf,0
"BOSTON, MASS",1971,16853,16343,3768,504,50,12021,510,432,224947,216273,90288,7246,521,118219,8674,MA,MA,1977,-6,0
"BRIDGEPORT, CONN",1971,2053,2053,960,194,22,877,0,37,37433,37433,25215,3567,363,8289,0,CT,CT,1973,-2,0
"BRISTOL, CONN",1971,664,544,249,8,91,196,120,6,10022,7901,4982,74,935,1910,2121,CT,CT,1973,-2,0
"BROCKTON, MASS",1971,4693,4478,1174,16,728,2560,215,165,52681,49290,17671,199,7856,23564,3391,MA,MA,1977,-6,0
"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX",1971,855,805,462,2,8,333,50,6,7865,7325,4526,4,40,2755,540,TX,TX,Inf,-Inf,0
"BRYAN-COLLEGE STATION, TEX",1971,1037,1037,332,14,66,625,0,66,10513,10513,6205,110,368,3830,0,TX,TX,Inf,-Inf,0
"BUFFALO, NY",1971,8145,8145,3283,710,191,3961,0,346,112283,112283,61999,7984,2117,40184,0,NY,NY,1975,-4,0
"CANTON, OHIO",1971,2669,2669,1373,244,80,972,0,86,47977,47977,32064,3367,1423,11123,0,OH,OH,Inf,-Inf,0
"CEDAR RAPIDS, IOWA",1971,844,844,656,14,20,154,0,12,10612,10612,9162,179,227,1044,0,IA,IA,Inf,-Inf,0
"CHAMPAIGN-URBANA-RANTOUL, ILL",1971,1127,1127,389,38,12,688,0,45,11959,11959,7220,456,100,4183,0,IL,IL,Inf,-Inf,0
"CHARLESTON-NORTH CHARLESTON, SC",1971,3595,3595,1718,38,45,1794,0,171,34659,34659,22993,255,384,11027,0,SC,SC,Inf,-Inf,0
"CHARLESTON, WVA",1971,889,789,263,4,8,514,100,24,16484,14719,5909,30,60,8720,1765,WV,WV,Inf,-Inf,0
"CHARLOTTE-GASTONIA, NC",1971,9805,9805,4326,134,492,4853,0,499,123743,123743,77463,1380,5085,39815,0,NC,NC,1971,0,1
"CHATTANOOGA, TENN-GA",1971,3506,3503,1684,400,70,1349,3,37,41607,41487,24992,3599,653,12243,120,TN-GA,TN,1991,-20,0
"CHICAGO, ILL",1971,63470,63051,24414,794,2892,34951,419,1395,1037463,1030942,560089,11679,33692,425483,6521,IL,IL,Inf,-Inf,0
"CINCINNATI, OHIO-KY-IND",1971,14260,14260,4770,182,204,9104,0,428,191103,191103,105911,2593,3396,79203,0,OH-KY-IN,OH,1972,-1,0
"CLEVELAND, OHIO",1971,12238,12024,5384,230,395,6015,214,186,252879,248327,146530,4253,5360,92185,4552,OH,OH,Inf,-Inf,0
"COLORADO SPRINGS, COLO",1971,7996,7996,3782,56,28,4130,0,277,79516,79516,50590,679,218,28030,0,CO,CO,Inf,-Inf,0
"COLUMBIA, MO",1971,1058,758,204,92,128,334,300,32,15737,11011,5413,1212,919,3467,4726,MO,MO,Inf,-Inf,0
"COLUMBIA, SC",1971,5108,4868,2451,22,205,2190,240,202,69435,65654,38541,211,1923,24979,3781,SC,SC,Inf,-Inf,0
"COLUMBUS, GA-ALA",1971,2722,2722,1675,24,49,974,0,28,36422,36422,26791,210,375,9047,0,GA-AL,GA,1991,-20,0
"COLUMBUS, OHIO",1971,16537,16537,5475,408,833,9821,0,833,233168,233168,123191,5206,8976,95795,0,OH,OH,Inf,-Inf,0
"CORPUS CHRISTI, TEX",1971,3559,3559,2241,84,11,1223,0,52,38887,38887,27206,1138,106,10436,0,TX,TX,Inf,-Inf,0
"DALLAS-FORT WORTH, TEX",1971,40118,40092,22264,670,455,16703,26,449,512871,512515,373140,9540,4604,125231,356,TX,TX,Inf,-Inf,0
"DANBURY, CONN",1971,902,902,650,42,0,210,0,19,17773,17773,14037,461,0,3275,0,CT,CT,1973,-2,0
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL",1971,2040,1921,1411,40,44,426,119,30,32673,30755,24972,458,512,4813,1919,IA-IL,IA,Inf,-Inf,0
