smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"COLUMBIA, SC",1967,2753,2573,1582,72,125,794,180,52,35869,33028,25401,420,489,6718,2841,SC,SC,Inf,-Inf,0
"COLUMBUS, GA-ALA",1967,1732,1432,1120,38,38,236,300,15,22746,18110,16487,193,179,1251,4636,GA-AL,GA,1991,-24,0
"COLUMBUS, OHIO",1967,7780,7780,3940,334,441,3065,0,256,108674,108674,78218,3766,4111,22579,0,OH,OH,Inf,-Inf,0
"CORPUS CHRISTI, TEX",1967,1908,1558,1133,6,43,376,350,14,22068,17140,14542,40,365,2193,4927,TX,TX,Inf,-Inf,0
"DALLAS-FORT WORTH, TEX",1967,27801,27781,13334,522,373,13552,20,410,301548,301332,205893,6270,2930,86239,216,TX,TX,Inf,-Inf,0
"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL",1967,2766,2606,1879,88,99,540,160,40,38713,36597,30317,1091,984,4205,2116,IA-IL,IA,Inf,-Inf,0
"DAYTON, OHIO",1967,6952,6872,3902,132,411,2427,80,181,94152,93116,72833,1023,3537,15723,1036,OH,OH,Inf,-Inf,0
"DECATUR, ILL",1967,493,493,380,0,0,113,0,1,11916,11916,10116,0,0,1800,0,IL,IL,Inf,-Inf,0
"DENVER-BOULDER, COLO",1967,10367,10267,6048,166,99,3954,100,195,132997,132051,102485,1610,1288,26667,947,CO,CO,Inf,-Inf,0
"DES MOINES, IOWA",1967,2697,2697,1281,184,8,1224,0,84,41674,41674,27559,2120,90,11906,0,IA,IA,Inf,-Inf,0
"DETROIT, MICH",1967,30382,30148,17256,130,327,12435,234,853,455761,452236,328407,1412,3347,119070,3525,MI,MI,Inf,-Inf,0
"DUBUQUE, IOWA",1967,268,268,222,10,36,0,0,0,3507,3507,3144,83,280,0,0,IA,IA,Inf,-Inf,0
"DULUTH-SUPERIOR, MINN-WIS",1967,396,396,339,16,4,37,0,2,6405,6405,5920,151,24,310,0,MN-WI,MN,1972,-5,0
"RALEIGH-DURHAM, NC",1967,4698,4649,2365,196,117,1971,49,211,60593,60006,43743,1420,640,14203,587,NC,NC,1971,-4,0
"EL PASO, TEX",1967,2266,2266,1485,32,4,745,0,22,30755,30755,25063,296,22,5374,0,TX,TX,Inf,-Inf,0
"ERIE, PA",1967,842,842,697,34,32,79,0,9,10942,10942,9846,278,246,572,0,PA,PA,Inf,-Inf,0
"EUGENE-SPRINGFIELD, OREG",1967,2049,1988,1192,236,12,548,61,40,25668,24858,18605,2299,79,3874,810,OR,OR,Inf,-Inf,0
"EVANSVILLE, IND-KY",1967,1224,1115,779,22,11,303,109,16,14937,13481,10257,199,47,2979,1456,IN-KY,IN,1972,-5,0
"FALL RIVER, MASS-RI",1967,494,494,451,4,12,27,0,3,7135,7135,6855,26,65,190,0,MA-RI,MA,1977,-10,0
"FARGO-MOORHEAD, ND-MN",1967,1032,822,309,18,24,471,210,25,15307,11830,6780,230,330,4491,3476,ND-MN,ND,1973,-6,0
"FAYETTEVILLE, NC",1967,349,349,326,8,0,15,0,2,6013,6013,5820,83,0,110,0,NC,NC,1971,-4,0
"FITCHBURG-LEOMINSTER, MASS",1967,394,394,235,0,7,152,0,16,4084,4084,2966,0,48,1070,0,MA,MA,1977,-10,0
"FLINT, MICH",1967,3721,3721,2665,70,99,887,0,87,50641,50641,41997,519,504,7620,0,MI,MI,Inf,-Inf,0
"FORT LAUDERDALE-HOLLYWOOD, FLA",1967,13057,13057,4936,800,254,7067,0,290,177611,177611,91534,7774,2104,76199,0,FL,FL,Inf,-Inf,0
"FORT SMITH, ARK-OKLA",1967,676,396,304,0,24,68,280,5,9455,6125,5741,0,114,270,3330,AR-OK,AR,Inf,-Inf,0
"FORT WAYNE, IND",1967,1257,1257,952,8,216,81,0,7,20866,20866,18835,64,1518,449,0,IN,IN,1972,-5,0
"FRESNO, CALIF",1967,2984,2984,1729,109,404,742,0,91,33612,33612,24276,1036,2846,5454,0,CA,CA,1970,-3,0
