year,page_numbers,line_number,smsa_name,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation
1967,pages_03_04.json,16,"BEAUMONT-PORT ARTHUR-ORANGE, TEX.",983,983,606,6,26,345,0,10,13086,13086,9906,120,315,2745,0
1967,pages_03_04.json,17,INSIDE CENTRAL CITIES,771,771,436,4,26,305,0,9,10308,10308,7390,58,315,2545,0
1967,pages_03_04.json,18,BEAUMONT,671,671,336,4,26,305,0,9,8811,8811,5893,58,315,2545,0
1967,pages_03_04.json,19,ORANGE,54,54,54,0,0,0,0,0,865,865,865,0,0,0,0
1967,pages_03_04.json,20,PORT ARTHUR,46,46,46,0,0,0,0,0,632,632,632,0,0,0,0
1967,pages_03_04.json,21,OUTSIDE CENTRAL CITIES,212,212,170,2,0,40,0,1,2778,2778,2516,62,0,200,0
1967,pages_03_04.json,22,"BILLINGS, MONT.",181,181,144,18,19,0,0,0,3416,3416,3002,203,212,0,0
1967,pages_03_04.json,23,BILLINGS,170,170,133,18,19,0,0,0,3250,3250,2835,203,212,0,0
1967,pages_03_04.json,24,OUTSIDE CENTRAL CITY,11,11,11,0,0,0,0,0,167,167,167,0,0,0,0
1967,pages_03_04.json,25,"BINGHAMTON, N.Y.-PA.",1168,1168,751,48,7,362,0,12,18602,18602,14559,525,54,3465,0
1967,pages_03_04.json,26,BINGHAMTON,52,52,22,2,0,28,0,2,648,648,433,15,0,200,0
1967,pages_03_04.json,27,OUTSIDE CENTRAL CITY,1116,1116,729,46,7,334,0,10,17955,17955,14126,510,54,3265,0
1967,pages_03_04.json,28,"BIRMINGHAM, ALA.",4975,4735,2809,18,71,1837,240,135,61139,58136,44165,156,413,13402,3004
1967,pages_03_04.json,29,BIRMINGHAM,1749,1549,454,2,44,1049,200,70,14975,12477,5252,10,210,7005,2499
1967,pages_03_04.json,30,OUTSIDE CENTRAL CITY,3226,3186,2355,16,27,788,40,65,46164,45659,38913,146,203,6397,505
1967,pages_03_04.json,31,"BLOOMINGTON-NORMAL, ILL.",758,758,433,24,55,246,0,25,9668,9668,7376,272,351,1669,0
1967,pages_03_04.json,32,INSIDE CENTRAL CITIES,633,633,317,22,48,246,0,25,7573,7573,5392,237,275,1669,0
1967,pages_03_04.json,33,BLOOMINGTON,405,405,164,8,39,194,0,21,3890,3890,2334,87,230,1239,0
1967,pages_03_04.json,34,NORMAL,228,228,153,14,9,52,0,4,3683,3683,3058,150,45,430,0
1967,pages_03_04.json,35,OUTSIDE CENTRAL CITIES,125,125,116,2,7,0,0,0,2095,2095,1984,35,76,0,0
1967,pages_03_04.json,36,"BOISE CITY, IDAHO",130,130,89,6,15,20,0,2,2271,2271,1867,105,116,184,0
1967,pages_03_04.json,37,BOISE CITY,113,113,72,6,15,20,0,2,2052,2052,1647,105,116,184,0
1967,pages_03_04.json,38,OUTSIDE CENTRAL CITY,17,17,17,0,0,0,0,0,220,220,220,0,0,0,0
1967,pages_03_04.json,39,"BOSTON, MASS.",12171,11985,4943,362,108,6572,186,301,156498,153275,94259,3851,791,54374,3223
1967,pages_03_04.json,40,BOSTON,1757,1571,234,98,0,1239,186,41,15886,12663,3262,942,0,8459,3223
1967,pages_03_04.json,41,OUTSIDE CENTRAL CITY,10414,10414,4709,264,108,5333,0,260,140612,140612,90997,2909,791,45915,0
1967,pages_03_04.json,42,"BRIDGEPORT, CONN.",2217,2142,1386,102,13,641,75,26,34512,33685,28353,1164,107,4062,827
1967,pages_03_04.json,43,BRIDGEPORT,512,512,64,58,4,386,0,15,4031,4031,985,660,38,2348,0
1967,pages_03_04.json,44,OUTSIDE CENTRAL CITY,1705,1630,1322,44,9,255,75,11,30482,29655,27368,503,69,1714,827
1967,pages_03_04.json,45,"BROCKTON, MASS.",1024,900,765,20,20,95,124,6,12041,9998,9329,153,101,415,2043
1967,pages_03_04.json,46,BROCKTON,529,405,328,20,12,45,124,2,5916,3873,3525,153,45,150,2043
1967,pages_03_04.json,47,OUTSIDE CENTRAL CITY,495,495,437,0,8,50,0,4,6126,6126,5805,0,56,265,0
1967,pages_03_04.json,48,"BROWNSVILLE-HARLINGEN-SAN BENITO, TEX.",254,254,172,82,0,0,0,0,1557,1557,1298,259,0,0,0
1967,pages_03_04.json,49,INSIDE CENTRAL CITIES,209,209,127,82,0,0,0,0,1153,1153,894,259,0,0,0
1967,pages_03_04.json,50,BROWNSVILLE,159,159,79,80,0,0,0,0,779,779,522,257,0,0,0
1967,pages_03_04.json,51,HARLINGEN,40,40,38,2,0,0,0,0,337,337,335,2,0,0,0
1967,pages_03_04.json,52,SAN BENITO,10,10,10,0,0,0,0,0,37,37,37,0,0,0,0
1967,pages_03_04.json,53,OUTSIDE CENTRAL CITIES,45,45,45,0,0,0,0,0,403,403,403,0,0,0,0
1967,pages_03_04.json,54,"BUFFALO, N.Y.",5775,5775,3764,584,126,1301,0,134,79223,79223,63216,4483,1078,10446,0
1967,pages_03_04.json,55,BUFFALO,85,85,57,16,0,12,0,1,1562,1562,1356,116,0,90,0
1967,pages_03_04.json,56,OUTSIDE CENTRAL CITY,5690,5690,3707,568,126,1289,0,133,77661,77661,61860,4367,1078,10356,0
1967,pages_03_04.json,57,"CANTON, OHIO",1893,1813,1173,246,107,287,80,21,30489,29367,21774,2721,1333,3539,1122
1967,pages_03_04.json,58,CANTON,311,231,69,16,0,146,80,6,4465,3343,1292,147,0,1905,1122
1967,pages_03_04.json,59,OUTSIDE CENTRAL CITY,1582,1582,1104,230,107,141,0,15,26024,26024,20482,2575,1333,1634,0
1967,pages_05_06.json,1,"CEDAR RAPIDS, IOWA",1956,1956,912,60,42,942,0,77,18960,18960,12913,541,290,5215,0
1967,pages_05_06.json,2,CEDAR RAPIDS,1540,1540,588,42,16,894,0,74,13505,13505,8137,353,117,4897,0
1967,pages_05_06.json,3,OUTSIDE CENTRAL CITY,416,416,324,18,26,48,0,3,5455,5455,4776,188,173,318,0
1967,pages_05_06.json,4,"CHAMPAIGN-URBANA, ILL.",412,412,177,22,8,205,0,16,4661,4661,3141,181,96,1242,0
1967,pages_05_06.json,5,INSIDE CENTRAL CITIES,343,343,124,14,0,205,0,16,3763,3763,2397,123,0,1242,0
1967,pages_05_06.json,6,CHAMPAIGN,206,206,78,2,0,126,0,10,2253,2253,1436,14,0,803,0
1967,pages_05_06.json,7,URBANA,137,137,46,12,0,79,0,6,1510,1510,961,110,0,439,0
1967,pages_05_06.json,8,OUTSIDE CENTRAL CITIES,69,69,53,8,8,0,0,0,898,898,744,58,96,0,0
1967,pages_05_06.json,9,"CHARLESTON, S.C.",3026,2840,1905,68,175,692,186,48,32516,30003,24941,543,1103,3416,2513
1967,pages_05_06.json,10,CHARLESTON,783,597,159,10,100,328,186,19,7808,5295,3089,77,730,1399,2513
1967,pages_05_06.json,11,OUTSIDE CENTRAL CITY,2243,2243,1746,58,75,364,0,29,24708,24708,21852,466,373,2017,0
1967,pages_05_06.json,12,"CHARLESTON, W.VA.",297,297,252,10,28,7,0,1,5490,5490,5098,125,197,70,0
1967,pages_05_06.json,13,CHARLESTON,191,191,156,4,24,7,0,1,3916,3916,3615,64,167,70,0
1967,pages_05_06.json,14,OUTSIDE CENTRAL CITY,106,106,96,6,4,0,0,0,1573,1573,1483,61,30,0,0
1967,pages_05_06.json,15,"CHARLOTTE, N.C.",4684,4684,2851,126,106,1601,0,218,59311,59311,45942,944,647,11778,0
1967,pages_05_06.json,16,CHARLOTTE,4146,4146,2353,102,106,1585,0,216,51604,51604,38502,736,647,11719,0
1967,pages_05_06.json,17,OUTSIDE CENTRAL CITY,538,538,498,24,0,16,0,2,7707,7707,7440,208,0,59,0
1967,pages_05_06.json,18,"CHATTANOOGA, TENN.-GA.",1853,1853,1281,418,16,138,0,4,22845,22845,18904,2822,93,1026,0
1967,pages_05_06.json,19,CHATTANOOGA,229,229,71,158,0,0,0,0,1679,1679,934,745,0,0,0
1967,pages_05_06.json,20,OUTSIDE CENTRAL CITY,1624,1624,1210,260,16,138,0,4,21166,21166,17970,2077,93,1026,0
1967,pages_05_06.json,21,"CHICAGO, ILL.",48330,47977,21208,903,934,24932,353,1070,695384,691717,454082,12295,9259,216081,3667
1967,pages_05_06.json,22,CHICAGO,11536,11183,1259,250,181,9493,353,253,108133,104466,16570,3092,1722,83081,3667
1967,pages_05_06.json,23,OUTSIDE CENTRAL CITY,36794,36794,19949,653,753,15439,0,817,587252,587252,437512,9203,7537,132999,0
1967,pages_05_06.json,24,"CINCINNATI, OHIO-KY.-IND.",9146,8818,3995,100,114,4609,328,219,113898,109547,74393,887,980,33287,4351
1967,pages_05_06.json,25,CINCINNATI,2964,2834,126,18,9,2681,130,95,25495,23366,3502,149,156,19560,2129
1967,pages_05_06.json,26,OUTSIDE CENTRAL CITY,6182,5984,3869,82,105,1928,198,124,88402,86180,70891,738,824,13727,2222
1967,pages_05_06.json,27,"CLEVELAND, OHIO",13562,13562,5963,220,20,7359,0,162,215672,215672,144207,2759,180,68526,0
1967,pages_05_06.json,28,CLEVELAND,1012,1012,249,8,4,751,0,15,10319,10319,4333,97,45,5844,0
1967,pages_05_06.json,29,OUTSIDE CENTRAL CITY,12550,12550,5714,212,16,6608,0,147,205353,205353,139874,2663,135,62682,0
1967,pages_05_06.json,30,"COLORADO SPRINGS, COLO.",3926,3926,2124,54,12,1736,0,80,34357,34357,24823,393,185,8956,0
1967,pages_05_06.json,31,COLORADO SPRINGS,3881,3881,2091,54,12,1724,0,78,33953,33953,24484,393,185,8891,0
1967,pages_05_06.json,32,OUTSIDE CENTRAL CITY,45,45,33,0,0,12,0,2,404,404,339,0,0,65,0
1967,pages_05_06.json,33,"COLUMBIA, S.C.",2753,2573,1582,72,125,794,180,52,35869,33028,25401,420,489,6718,2841
1967,pages_05_06.json,34,COLUMBIA,615,435,82,22,77,254,180,11,6531,3690,1280,103,333,1974,2841
1967,pages_05_06.json,35,OUTSIDE CENTRAL CITY,2138,2138,1500,50,48,540,0,41,29338,29338,24120,318,156,4744,0
1967,pages_05_06.json,36,"COLUMBUS, GA.-ALA.",1732,1432,1120,38,38,236,300,15,22746,18110,16487,193,179,1251,4636
1967,pages_05_06.json,37,COLUMBUS,682,382,170,20,22,170,300,10,8955,4319,3296,78,76,869,4636
1967,pages_05_06.json,38,OUTSIDE CENTRAL CITY,1050,1050,950,18,16,66,0,5,13791,13791,13191,116,103,382,0
1967,pages_05_06.json,39,"COLUMBUS, OHIO",7780,7780,3940,334,441,3065,0,256,108674,108674,78218,3766,4111,22579,0
1967,pages_05_06.json,40,COLUMBUS,5129,5129,1844,266,343,2676,0,231,59237,59237,33598,2977,2798,19865,0
1967,pages_05_06.json,41,OUTSIDE CENTRAL CITY,2651,2651,2096,68,98,389,0,25,49436,49436,44620,789,1313,2714,0
1967,pages_05_06.json,42,"CORPUS CHRISTI, TEX.",1908,1558,1133,6,43,376,350,14,22068,17140,14542,40,365,2193,4927
1967,pages_05_06.json,43,CORPUS CHRISTI,1649,1299,874,6,43,376,350,14,19012,14085,11487,40,365,2193,4927
1967,pages_05_06.json,44,OUTSIDE CENTRAL CITY,259,259,259,0,0,0,0,0,3055,3055,3055,0,0,0,0
1967,pages_05_06.json,45,"DALLAS, TEX.",18426,18406,8762,390,103,9151,20,213,201632,201416,139563,5118,738,55997,216
1967,pages_05_06.json,46,DALLAS,9939,9939,2998,332,7,6602,0,98,99268,99268,54968,4285,40,39975,0
1967,pages_05_06.json,47,OUTSIDE CENTRAL CITY,8487,8467,5764,58,96,2549,20,115,102364,102149,84595,834,698,16022,216
1967,pages_05_06.json,48,"DAVENPORT-ROCK ISLAND-MOLINE, IOWA-ILL.",2766,2606,1879,88,99,540,160,40,38713,36597,30317,1091,984,4205,2116
1967,pages_05_06.json,49,INSIDE CENTRAL CITIES,1505,1345,761,50,36,498,160,34,20012,17896,12959,622,433,3883,2116
1967,pages_05_06.json,50,DAVENPORT,847,847,494,24,4,325,0,24,10296,10296,7558,308,35,2394,0
1967,pages_05_06.json,51,MOLINE,324,324,151,12,32,129,0,8,4943,4943,3382,161,397,1002,0
1967,pages_05_06.json,52,ROCK ISLAND,334,174,116,14,0,44,160,2,4773,2657,2019,152,0,486,2116
1967,pages_05_06.json,53,OUTSIDE CENTRAL CITIES,1261,1261,1118,38,63,42,0,6,18701,18701,17358,470,551,322,0
1967,pages_05_06.json,54,"DAYTON, OHIO",6952,6872,3902,132,411,2427,80,181,94152,93116,72833,1023,3537,15723,1036
1967,pages_05_06.json,55,DAYTON,1187,1107,131,16,159,801,80,56,11154,10118,1910,236,1643,6329,1036
1967,pages_05_06.json,56,OUTSIDE CENTRAL CITY,5765,5765,3771,116,252,1626,0,125,82998,82998,70923,787,1894,9394,0
1967,pages_05_06.json,57,"DECATUR, ILL.",493,493,380,0,0,113,0,1,11916,11916,10116,0,0,1800,0
1967,pages_05_06.json,58,DECATUR,366,366,253,0,0,113,0,1,9880,9880,8080,0,0,1800,0
1967,pages_05_06.json,59,OUTSIDE CENTRAL CITY,127,127,127,0,0,0,0,0,2036,2036,2036,0,0,0,0
1967,pages_07_08.json,1,"DENVER, COLO.",10367,10267,6048,166,99,3954,100,195,132997,132051,102485,1610,1288,26667,947
1967,pages_07_08.json,2,DENVER,3512,3412,998,34,18,2362,100,85,32906,31959,17252,315,211,14181,947
1967,pages_07_08.json,3,OUTSIDE CENTRAL CITY,6855,6855,5050,132,81,1592,0,110,100092,100092,85234,1295,1077,12486,0
1967,pages_07_08.json,4,"DES MOINES, IOWA",2697,2697,1281,184,8,1224,0,84,41674,41674,27559,2120,90,11906,0
1967,pages_07_08.json,5,DES MOINES,1086,1086,378,116,0,592,0,32,14833,14833,7726,1310,0,5797,0
1967,pages_07_08.json,6,OUTSIDE CENTRAL CITY,1611,1611,903,68,8,632,0,52,26841,26841,19832,810,90,6108,0
1967,pages_07_08.json,7,"DETROIT, MICH.",30382,30148,17256,130,327,12435,234,853,455761,452236,328407,1412,3347,119070,3525
1967,pages_07_08.json,8,DETROIT,1710,1710,291,38,0,1381,0,70,20276,20276,4110,332,0,15834,0
1967,pages_07_08.json,9,OUTSIDE CENTRAL CITY,28672,28438,16965,92,327,11054,234,783,435484,431960,324297,1080,3347,103235,3525
1967,pages_07_08.json,10,"DUBUQUE, IOWA",268,268,222,10,36,0,0,0,3507,3507,3144,83,280,0,0
1967,pages_07_08.json,11,DUBUQUE,236,236,190,10,36,0,0,0,2979,2979,2616,83,280,0,0
1967,pages_07_08.json,12,OUTSIDE CENTRAL CITY,32,32,32,0,0,0,0,0,528,528,528,0,0,0,0
1967,pages_07_08.json,13,"DULUTH-SUPERIOR, MINN.-WIS.",396,396,339,16,4,37,0,2,6405,6405,5920,151,24,310,0
1967,pages_07_08.json,14,INSIDE CENTRAL CITIES,241,241,188,16,0,37,0,2,3885,3885,3424,151,0,310,0
1967,pages_07_08.json,15,DULUTH,158,158,133,4,0,21,0,1,2875,2875,2665,50,0,160,0
1967,pages_07_08.json,16,SUPERIOR,83,83,55,12,0,16,0,1,1010,1010,760,101,0,150,0
1967,pages_07_08.json,17,OUTSIDE CENTRAL CITIES,155,155,151,0,4,0,0,0,2520,2520,2496,0,24,0,0
1967,pages_07_08.json,18,"DURHAM, N.C.",2267,2218,1029,118,24,1047,49,101,28925,28338,18988,688,163,8499,587
1967,pages_07_08.json,19,DURHAM,1075,1075,242,104,20,709,0,66,10924,10924,4478,577,134,5735,0
1967,pages_07_08.json,20,OUTSIDE CENTRAL CITY,1192,1143,787,14,4,338,49,35,18001,17414,14509,111,29,2764,587
1967,pages_07_08.json,21,"EL PASO, TEX.",2266,2266,1485,32,4,745,0,22,30755,30755,25063,296,22,5374,0
1967,pages_07_08.json,22,EL PASO,2262,2262,1481,32,4,745,0,22,30715,30715,25023,296,22,5374,0
1967,pages_07_08.json,23,OUTSIDE CENTRAL CITY,4,4,4,0,0,0,0,0,40,40,40,0,0,0,0
1967,pages_07_08.json,24,"ERIE, PA.",842,842,697,34,32,79,0,9,10942,10942,9846,278,246,572,0
1967,pages_07_08.json,25,ERIE,234,234,145,16,32,41,0,5,2486,2486,1811,129,246,300,0
1967,pages_07_08.json,26,OUTSIDE CENTRAL CITY,608,608,552,18,0,38,0,4,8456,8456,8035,149,0,272,0
1967,pages_07_08.json,27,"EUGENE, OREG.",2049,1988,1192,236,12,548,61,40,25668,24858,18605,2299,79,3874,810
1967,pages_07_08.json,28,EUGENE,844,843,436,72,12,323,1,18,10790,10765,7635,761,79,2290,25
1967,pages_07_08.json,29,OUTSIDE CENTRAL CITY,1205,1145,756,164,0,225,60,22,14878,14093,10970,1538,0,1585,785
1967,pages_07_08.json,30,"EVANSVILLE, IND.-KY.",1224,1115,779,22,11,303,109,16,14937,13481,10257,199,47,2979,1456
1967,pages_07_08.json,31,EVANSVILLE,697,588,279,14,0,295,109,15,9213,7757,4721,130,0,2907,1456
1967,pages_07_08.json,32,OUTSIDE CENTRAL CITY,527,527,500,8,11,8,0,1,5724,5724,5536,69,47,72,0
1967,pages_07_08.json,33,"FALL RIVER, MASS.-R.I.",494,494,451,4,12,27,0,3,7135,7135,6855,26,65,190,0
1967,pages_07_08.json,34,FALL RIVER,83,83,58,0,4,21,0,2,907,907,729,0,18,160,0
1967,pages_07_08.json,35,OUTSIDE CENTRAL CITY,411,411,393,4,8,6,0,1,6228,6228,6126,26,47,30,0
1967,pages_07_08.json,36,"FARGO-MOORHEAD, N.DAK.-MINN.",1032,822,309,18,24,471,210,25,15307,11830,6780,230,330,4491,3476
1967,pages_07_08.json,37,INSIDE CENTRAL CITIES,900,750,253,14,20,463,150,24,13459,10763,5878,155,300,4431,2696
1967,pages_07_08.json,38,FARGO,391,391,172,2,0,217,0,11,5980,5980,3999,25,0,1956,0
1967,pages_07_08.json,39,MOORHEAD,509,359,81,12,20,246,150,13,7480,4784,1879,130,300,2475,2696
1967,pages_07_08.json,40,OUTSIDE CENTRAL CITIES,132,72,56,4,4,8,60,1,1847,1067,902,75,30,60,780
1967,pages_07_08.json,41,"FAYETTEVILLE, N.C.",349,349,326,8,0,15,0,2,6013,6013,5820,83,0,110,0
1967,pages_07_08.json,42,FAYETTEVILLE,314,314,291,8,0,15,0,2,5519,5519,5327,83,0,110,0
1967,pages_07_08.json,43,OUTSIDE CENTRAL CITY,35,35,35,0,0,0,0,0,494,494,494,0,0,0,0
1967,pages_07_08.json,44,"FITCHBURG-LEOMINSTER, MASS.",394,394,235,0,7,152,0,16,4084,4084,2966,0,48,1070,0
1967,pages_07_08.json,45,INSIDE CENTRAL CITIES,342,342,183,0,7,152,0,16,3413,3413,2295,0,48,1070,0
1967,pages_07_08.json,46,FITCHBURG,56,56,56,0,0,0,0,0,539,539,539,0,0,0,0
1967,pages_07_08.json,47,LEOMINSTER,286,286,127,0,7,152,0,16,2874,2874,1756,0,48,1070,0
